cyto sim.	mean	ste
crowder_n1	0.43	0.02
crowder_n2	0.45	0.02
crowder_n3	0.28	0.02
crowder_n4	0.22	0.01
crowder_n5	0.19	0.01
crowder_n6	0.16	0.01
crowder_n7	0.14	0.00
crowder_n8	0.19	0.01
