cyto sim.	mean	ste
crowder_n1	0.68	0.24
crowder_n2	-	-
crowder_n3	25.48	1.01
crowder_n4	3.49	0.76
crowder_n5	-	-
crowder_n6	3.31	0.33
crowder_n7	15.88	1.68
crowder_n8	24.34	0.70
