singles sim.	mean	ste
crowder_n1:	0.014	0.001
crowder_n2:	0.029	0.005
crowder_n3:	0.011	0.001
crowder_n4:	0.014	0.002
crowder_n5:	0.014	0.001
crowder_n6:	0.007	0.000
crowder_n7:	0.005	0.000
crowder_n8:	0.006	0.000
