singles sim.	mean	ste
crowder_n1	191.60	1.32
crowder_n2	344.83	1.57
crowder_n3	210.97	1.00
crowder_n4	94.25	0.48
crowder_n5	47.56	0.03
crowder_n6	100.52	0.46
crowder_n7	160.41	0.37
crowder_n8	179.63	1.11
