singles sim.	mean	ste
crowder_n1	2.42	0.01
crowder_n2	2.87	0.01
crowder_n3	2.32	0.01
crowder_n4	1.59	0.01
crowder_n5	1.11	0.00
crowder_n6	1.58	0.00
crowder_n7	2.07	0.00
crowder_n8	2.17	0.00
