cyto sim.	mean	ste
crowder_n1	0.004	0.000
crowder_n2	0.004	0.000
crowder_n3	0.005	0.001
crowder_n4	0.006	0.001
crowder_n5	0.015	0.002
crowder_n6	0.004	0.001
crowder_n7	0.003	0.001
crowder_n8	0.004	0.001
crowder_n9	0.005	0.001
