cyto sim.	mean	ste
crowder_n1	267.58	1.84
crowder_n2	-	-
crowder_n3	290.37	1.35
crowder_n4	123.45	0.61
crowder_n5	-	-
crowder_n6	120.93	0.41
crowder_n7	264.19	0.92
crowder_n8	348.59	1.53
