cyto sim.	mean	ste
crowder_n1	2.47	0.01
crowder_n2	2.86	0.01
crowder_n3	2.32	0.01
crowder_n4	1.58	0.01
crowder_n5	1.11	0.00
crowder_n6	1.58	0.00
crowder_n7	2.06	0.00
crowder_n8	2.18	0.00
