singles sim.	mean	ste
crowder_n1	0.69	0.20
crowder_n2	-	-
crowder_n3	27.00	0.20
crowder_n4	3.99	0.91
crowder_n5	-	-
crowder_n6	3.47	0.35
crowder_n7	15.82	1.56
crowder_n8	25.58	1.01
