singles sim.	mean	ste
crowder_n1	559.58	4.63
crowder_n2	566.86	4.55
crowder_n3	618.14	1.16
crowder_n4	1311.78	8.85
crowder_n5	41.67	0.15
crowder_n6	771.28	0.76
crowder_n7	1167.93	5.23
crowder_n8	749.65	4.08
