cyto sim.	mean	ste
crowder_n1	4.38	1.13
crowder_n2	0.11	0.04
crowder_n3	65.12	1.05
crowder_n4	46.61	3.98
crowder_n5	0.00	0.03
crowder_n6	133.34	2.15
crowder_n7	156.49	0.88
crowder_n8	35.33	1.43
